#,Spotify URL,Song Title,Artists
93,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor
94,https://open.spotify.com/track/15Mh8m2BGTUptR8yy7fNAS,Only You,Yazoo
95,https://open.spotify.com/track/3sesq9P6ndjuqaq5om7sxT,I Put A Spell On You,Annie Lennox
96,https://open.spotify.com/track/29SyMC0plk6qw8NMF7lfRL,You Really Got Me,The Kinks
97,https://open.spotify.com/track/3M0D6JSFP7WFNBKf0cIbmz,Two Of Us,Supertramp
98,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb,What About Us,P!nk
99,https://open.spotify.com/track/2QTPd4DypZ1h5YcDJSUVlS,You Make Me Feel So Young,Frank Sinatra
100,https://open.spotify.com/track/2vzMWO0T008m86yDnXwkII,Blame It on Me,George Ezra
101,https://open.spotify.com/track/5BckPAYcKEJuYs1eV1BHHe,Take A Chance On Me,ABBA
102,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,Touch Me,The Doors
103,https://open.spotify.com/track/3yWAyRHfclztY1TzF2gAUD,Always Something There to Remind Me,Naked Eyes
104,https://open.spotify.com/track/3FQxvfsudfWVjBmQvTAxdf,Cuts Me Up,Holly Wild
105,https://open.spotify.com/track/7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars
106,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars
107,https://open.spotify.com/track/0SMkzFGJOBFDI9KfYD55L0,There She Goes,The La's
108,https://open.spotify.com/track/50H91sLfRgD5hYXg5gjtQo,She's Too Good For Me,Sting
109,https://open.spotify.com/track/7mnGQesk1TzQLzQ9bYWZPR,She's so High,Tal Bachman
110,https://open.spotify.com/track/6SQLk9HSNketfgs2AyIiMs,She,Harry Styles
111,https://open.spotify.com/track/2RBcYkonAofm0rYycVrCGt,Lady Writer,Dire Straits
112,https://open.spotify.com/track/2Cx3YZRQh9kgkAsNCPhtHM,What's It Gonna Take,Sarah McLachlan
113,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm,What's Up?,4 Non Blondes
114,https://open.spotify.com/track/0H2VhGUC3P3hvwz8rdGIpC,"Für Elise, Bagatelle in A Minor, WoO 59",Ludwig van Beethoven
115,https://open.spotify.com/track/48ZjHLkaHpXIlGGYUlb3bZ,Do Wah Diddy Diddy,Manfred Mann
116,https://open.spotify.com/track/668YgsnvdNBHfRscNIBS31,It's Only Rock'n'Roll (But I Like It),The Rolling Stones
117,https://open.spotify.com/track/1fBpLXBp2vlx41e8o41qSi,Tu me manques,Grégoire
118,https://open.spotify.com/track/1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,Extreme
119,https://open.spotify.com/track/48p5E25cFPanxuwCTmTpuL,The Promise,When In Rome
120,https://open.spotify.com/track/77loZpT5Y5PRP1S451P9Yz,The Reason,Hoobastank
121,https://open.spotify.com/track/6B9irmX521XUTw21pLQevd,The Letter (Rerecorded),The Box Tops
122,https://open.spotify.com/track/3i4Kxx9CgV9QOAehqpgkuB,My Obsession,ICEHOUSE
123,https://open.spotify.com/track/4J0DbyODwZJcmIAiTSJfMF,Annie's Song,John Denver
124,https://open.spotify.com/track/5vqJA5BMokxeEPnwYPNkUn,Layla,Derek & The Dominos
125,https://open.spotify.com/track/43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp
126,https://open.spotify.com/track/4f4HLo6L9CJNhD4mEYxrCL,Pure Imagination,Gene Wilder
127,https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw,TV,Billie Eilish
128,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift
129,https://open.spotify.com/track/0odIT9B9BvOCnXfS0e4lB5,Bette Davis Eyes,Kim Carnes
130,https://open.spotify.com/track/5vd1QZ0tdXOExiegC55IAS,Heart Of Gold,Neil Young
131,https://open.spotify.com/track/5BUVbe6Zt1jVgKFKMdp0p0,Jeepster,T. Rex
132,https://open.spotify.com/track/6krAkpKf8NW11bOfNkxpmx,You Better You Bet,The Who
133,https://open.spotify.com/track/6q2T5xXao6mTS6LLE88L84,The Lovecats,The Cure
134,https://open.spotify.com/track/2VypHdZBa70FkswmOTuWrr,So in Love,k.d. lang
135,https://open.spotify.com/track/0O2BnUNxwKyFrDwEup23PP,Love Affair,Regina Spektor
136,https://open.spotify.com/track/7jruu0eifvOgwBajru3E45,Love Is All,"Roger Glover, Ronnie Dio"
137,https://open.spotify.com/track/3fFjDz2fjQhXZH2PKT7Nl9,Comes Love,Vince Jones
138,https://open.spotify.com/track/3vqsIHlQxjGsZPuJKsMOaw,Love Is Stronger Than Justice (The Munificent Seven),Sting
139,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd,Love Of My Life,Queen
140,https://open.spotify.com/track/1u73tmG4xQschbK8cXxSD9,Love Tonight,Shouse
141,https://open.spotify.com/track/2cpUudtTX7OU6DcoNTuxwB,When Love Comes To Town,"U2, B.B. King"
142,https://open.spotify.com/track/4kb2BtAtBkvOYfuAHgVurj,Radar Love,Golden Earring
143,https://open.spotify.com/track/0wXUUVBlu7BIJTkdRY4eOk,How Long Will I Love You,The Waterboys
144,https://open.spotify.com/track/55NBt1WuvShjsGE1grbi2v,I Want Your Love,Transvision Vamp
145,https://open.spotify.com/track/2qPjkhjwv0ek6AycqnRQRj,Tunnel Of Love,Dire Straits
146,https://open.spotify.com/track/3Q8mS8JTzNkUuaOAtcaNyG,Cool World,Mondo Rock
147,https://open.spotify.com/track/3L4hdhIsx8a7eSse4VN6DL,Real Cool World,David Bowie
148,https://open.spotify.com/track/5nNZTUzinBDsnj3U76NJFC,And She Was,Talking Heads
149,https://open.spotify.com/track/6gfCFrvF0QpQOuwtrwTaKh,You're The One,"Shane MacGowan, Moya Brennan"
150,https://open.spotify.com/track/1fiesQn4R2gS7NfnkdkMPe,One Word,Baby Animals
151,https://open.spotify.com/track/6mrY380Ot7cNOp6WfoC9Yf,Tea For Two,Pink Martini
152,https://open.spotify.com/track/6uA1FgFbQkI6L6BvOOmx3x,Counting The Beat,The Swingers
153,https://open.spotify.com/track/4o0LyB69tylqDG6eTGhmig,Fire for You,Cannons
154,https://open.spotify.com/track/5wtQT1RkWaSKxbmVMMo0FU,The Unforgettable Fire,U2
155,https://open.spotify.com/track/5jDzYlcbEVMJUPSj8tE0Xg,Fire,Jimi Hendrix
156,https://open.spotify.com/track/72OWnDDKTtw3x7tevXHlno,Cat People (Putting Out Fire),"Giorgio Moroder, David Bowie"
157,https://open.spotify.com/track/3L9NsP191RY35x0UxlgajR,Burning Down the House,Talking Heads
158,https://open.spotify.com/track/5KRfUF9DKDJzRhy3OjJYeo,Too Darn Hot,Erasure
159,https://open.spotify.com/track/7pBpdziMk55LaCJrNJPuZx,Flame Trees,Sarah Blasko
160,https://open.spotify.com/track/5TAf4lnZCZTLlZHNZMLFLi,I Try,Macy Gray
161,https://open.spotify.com/track/6JZqIYmwDjYcw8nawqst7a,It's Probably Me,Sting
162,https://open.spotify.com/track/4FWbsd91QSvgr1dSWwW51e,TRUSTFALL,P!nk
163,https://open.spotify.com/track/38TuPQLkiKQMTcOd2e81RG,Electrical Storm,U2
164,https://open.spotify.com/track/4fxWzDQjEz9iah3f76EE9w,Chaos In The Calm,Holly Wild
165,https://open.spotify.com/track/54X78diSLoUDI3joC2bjMz,Purple Rain,Prince
166,https://open.spotify.com/track/217a9W3cZ3ur40RFQW2pTo,Remedy,The Black Crowes
167,https://open.spotify.com/track/4jIQ0wouzKHbi1fYHORIN0,Clarity (feat. Foxes),"Zedd, Foxes"
168,https://open.spotify.com/track/3gdPwk2wyOXNRnTA1KXnEr,Wish You The Best,Lewis Capaldi
169,https://open.spotify.com/track/4l7YIni9bAiGwWMqK5wvgV,You Learn,Alanis Morissette
170,https://open.spotify.com/track/6QUpu0JPNEyYfB8xhFqxbw,Rest Of My Life,Holly Wild
171,https://open.spotify.com/track/0K8sKuo6xLHZgySZmmw2rV,LIFETIMES,Katy Perry
172,https://open.spotify.com/track/4sCQwWnhRTkOZj5Fxt0DHL,Living Life,Kathy McCarty
173,https://open.spotify.com/track/3fqBhOtYA62A5D20j8OaQY,I'll Be Waiting,Cian Ducrot
174,https://open.spotify.com/track/6V9VCm1zOY2lGR80RehJ9i,Wichita Lineman,Glen Campbell
175,https://open.spotify.com/track/3PB7hZJSsVJga60q9gVIuT,Zoo Station,U2
176,https://open.spotify.com/track/5DH7nDryMhpixm4G4B7RP9,The Longest Time,Billy Joel
177,https://open.spotify.com/track/1khA4hwhZD4HMecyE1e9U1,Long Long Time,Linda Ronstadt
178,https://open.spotify.com/track/0d6ACIMLp9zoGirC5HVPtq,Tomorrow,U2
179,https://open.spotify.com/track/78JmElAFmrPNhLjovDR9Jm,All Day and All of the Night,The Kinks
180,https://open.spotify.com/track/52vNrpShTQJCcv98iJKCl7,Night and Day,U2
181,https://open.spotify.com/track/7oEeagBYiDbu3a6TInwKRq,Add It Up,Violent Femmes
182,https://open.spotify.com/track/1C6Tmo58WMtnAPdxYz9qCz,Bullet The Blue Sky,U2
183,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith
184,https://open.spotify.com/track/6VsvKPJ4xjVNKpI8VVZ3SV,invisible string,Taylor Swift
185,https://open.spotify.com/track/3CIwGBWClYiqYsYYYckjM3,Invisible Sun,The Police
186,https://open.spotify.com/track/4oh6NKtMdiXIhgGGQBR09b,Distant Sun,Crowded House
187,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,"P!nk, Willow Sage Hart"
188,https://open.spotify.com/track/5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,Billie Eilish
189,https://open.spotify.com/track/1vEf2oh0p7mkTEEbsIN9lx,Moon Over Bourbon Street,"Sting, Stephen Fitzmaurice"
190,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars
191,https://open.spotify.com/track/15mZo1Kah03g8CTLbSsWrr,The Whole of the Moon,The Waterboys
192,https://open.spotify.com/track/7jCoxM4Nh24geUjXphI8RA,Walking On The Moon,The Police
193,https://open.spotify.com/track/04T1RGqrmo9Y1znRDLiiy4,lunar eclipse,Lyric
194,https://open.spotify.com/track/5TmQl8urbTlfZb8xKisSl0,"Another Girl, Another Planet",The Only Ones
195,https://open.spotify.com/track/0Z3xhSOhrawLV81YdiDiiJ,Venus,Shocking Blue
196,https://open.spotify.com/track/3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars?,David Bowie
197,https://open.spotify.com/track/6KJqZcs9XDgVck7Lg9QOTC,seven,Taylor Swift
198,https://open.spotify.com/track/21F39lpBdWHu5aRy68V8xj,American Music,Violent Femmes
