ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ
"OneOFF_MiAViG_MiA,ViG_-_Event_#_37",370,"MiA,ViG - Event # 37","Mars in Aries, Venus in Gemini - Instance 37 of the Constellation of This",TRUE,GY_ONEOFF,,,0298,2291-07-03 00:00:00,2291,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,25,,,,2291-07-14 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_38",380,"MiA,ViG - Event # 38","Mars in Aries, Venus in Gemini - Instance 38 of the Constellation of This",TRUE,GY_ONEOFF,,,0300,2293-06-06 00:00:00,2293,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,6,,,,2293-06-14 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_39",390,"MiA,ViG - Event # 39","Mars in Aries, Venus in Gemini - Instance 39 of the Constellation of This",TRUE,GY_ONEOFF,,,0321,2314-05-12 00:00:00,2314,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,12,,,,2314-05-17 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_40",400,"MiA,ViG - Event # 40","Mars in Aries, Venus in Gemini - Instance 40 of the Constellation of This",TRUE,GY_ONEOFF,,,0328,2321-08-01 00:00:00,2321,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,1,,,,2321-08-12 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_41",410,"MiA,ViG - Event # 41","Mars in Aries, Venus in Gemini - Instance 41 of the Constellation of This",TRUE,GY_ONEOFF,,,0330,2323-06-28 00:00:00,2323,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,9,28,,,,2323-07-13 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_42",420,"MiA,ViG - Event # 42","Mars in Aries, Venus in Gemini - Instance 42 of the Constellation of This",TRUE,GY_ONEOFF,,,0332,2325-06-03 00:00:00,2325,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,10,3,,,,2325-06-14 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_43",430,"MiA,ViG - Event # 43","Mars in Aries, Venus in Gemini - Instance 43 of the Constellation of This",TRUE,GY_ONEOFF,,,0345,2338-07-26 00:00:00,2338,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,10,26,,,,2338-08-09 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_44",440,"MiA,ViG - Event # 44","Mars in Aries, Venus in Gemini - Instance 44 of the Constellation of This",TRUE,GY_ONEOFF,,,0353,2346-05-11 00:00:00,2346,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,10,11,,,,2346-05-13 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_45",450,"MiA,ViG - Event # 45","Mars in Aries, Venus in Gemini - Instance 45 of the Constellation of This",TRUE,GY_ONEOFF,,,0360,2353-07-22 00:00:00,2353,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,11,22,,,,2353-08-10 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_46",460,"MiA,ViG - Event # 46","Mars in Aries, Venus in Gemini - Instance 46 of the Constellation of This",TRUE,GY_ONEOFF,,,0362,2355-06-22 00:00:00,2355,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,22,,,,2355-07-11 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_47",470,"MiA,ViG - Event # 47","Mars in Aries, Venus in Gemini - Instance 47 of the Constellation of This",TRUE,GY_ONEOFF,,,0364,2357-05-29 00:00:00,2357,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,29,,,,2357-06-13 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_48",480,"MiA,ViG - Event # 48","Mars in Aries, Venus in Gemini - Instance 48 of the Constellation of This",TRUE,GY_ONEOFF,,,0377,2370-07-02 00:00:00,2370,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,2,,,,2370-08-03 00:00:00,
